,endtime,artistname,trackname,msplayed,duration,starttime,year,month,week,dayofweek,day,hour,minute,quarter
71,2020-12-15 22:06:00.000,Ninho,Lettre à une femme,157766,0 days 00:02:37.766000,2020-12-15 22:03:22.234,2020,12,51,1,15,22,6,4
72,2020-12-15 22:08:00.000,Ninho,Lettre à une femme,157766,0 days 00:02:37.766000,2020-12-15 22:05:22.234,2020,12,51,1,15,22,8,4
73,2020-12-15 22:11:00.000,Ninho,Filon,183239,0 days 00:03:03.239000,2020-12-15 22:07:56.761,2020,12,51,1,15,22,11,4
74,2020-12-15 22:14:00.000,Bosh,Djomb - Bien ou quoi,141893,0 days 00:02:21.893000,2020-12-15 22:11:38.107,2020,12,51,1,15,22,14,4
75,2020-12-15 22:17:00.000,Soprano,Musica (feat. Ninho),2623,0 days 00:00:02.623000,2020-12-15 22:16:57.377,2020,12,51,1,15,22,17,4
76,2020-12-15 22:17:00.000,Lynda,Si tu m'aimes,43157,0 days 00:00:43.157000,2020-12-15 22:16:16.843,2020,12,51,1,15,22,17,4
77,2020-12-15 22:17:00.000,Shay,Liquide,158295,0 days 00:02:38.295000,2020-12-15 22:14:21.705,2020,12,51,1,15,22,17,4
78,2020-12-15 22:20:00.000,Hatik,La meilleure,185120,0 days 00:03:05.120000,2020-12-15 22:16:54.880,2020,12,51,1,15,22,20,4
79,2020-12-15 22:21:00.000,Wejdene,Anissa,12609,0 days 00:00:12.609000,2020-12-15 22:20:47.391,2020,12,51,1,15,22,21,4
80,2020-12-15 22:21:00.000,Moha K,Elle (pt.1),17066,0 days 00:00:17.066000,2020-12-15 22:20:42.934,2020,12,51,1,15,22,21,4
81,2020-12-15 22:25:00.000,Soolking,Meleğim,220280,0 days 00:03:40.280000,2020-12-15 22:21:19.720,2020,12,51,1,15,22,25,4
82,2020-12-15 22:25:00.000,Naps,6.3,14078,0 days 00:00:14.078000,2020-12-15 22:24:45.922,2020,12,51,1,15,22,25,4
83,2020-12-15 22:27:00.000,Maes,Dybala,106368,0 days 00:01:46.368000,2020-12-15 22:25:13.632,2020,12,51,1,15,22,27,4
84,2020-12-15 22:31:00.000,Lomepal,Trop beau,244586,0 days 00:04:04.586000,2020-12-15 22:26:55.414,2020,12,51,1,15,22,31,4
85,2020-12-15 22:34:00.000,Ronisia,Atterrissage,48285,0 days 00:00:48.285000,2020-12-15 22:33:11.715,2020,12,51,1,15,22,34,4
86,2020-12-15 22:34:00.000,Chrisboy',Comme d'hab,176015,0 days 00:02:56.015000,2020-12-15 22:31:03.985,2020,12,51,1,15,22,34,4
87,2020-12-15 22:38:00.000,47ter,On avait dit,30451,0 days 00:00:30.451000,2020-12-15 22:37:29.549,2020,12,51,1,15,22,38,4
88,2020-12-15 22:38:00.000,Tsew The Kid,Wouna,191783,0 days 00:03:11.783000,2020-12-15 22:34:48.217,2020,12,51,1,15,22,38,4
89,2020-12-15 22:40:00.000,Hatik,"Adieu, mon amour",7786,0 days 00:00:07.786000,2020-12-15 22:39:52.214,2020,12,51,1,15,22,40,4
90,2020-12-15 22:40:00.000,YG Pablo,AVM,4010,0 days 00:00:04.010000,2020-12-15 22:39:55.990,2020,12,51,1,15,22,40,4
91,2020-12-15 22:40:00.000,YG Pablo,AVM,89301,0 days 00:01:29.301000,2020-12-15 22:38:30.699,2020,12,51,1,15,22,40,4
92,2020-12-15 22:44:00.000,Hatik,"Adieu, mon amour",220373,0 days 00:03:40.373000,2020-12-15 22:40:19.627,2020,12,51,1,15,22,44,4
93,2020-12-15 22:44:00.000,Hamza,Gasolina (feat. Gambi),30006,0 days 00:00:30.006000,2020-12-15 22:43:29.994,2020,12,51,1,15,22,44,4
94,2020-12-16 15:23:00.000,PNL,Au DD,247161,0 days 00:04:07.161000,2020-12-16 15:18:52.839,2020,12,51,2,16,15,23,4
95,2020-12-16 15:29:00.000,PNL,A l'ammoniaque,316545,0 days 00:05:16.545000,2020-12-16 15:23:43.455,2020,12,51,2,16,15,29,4
96,2020-12-16 15:32:00.000,Ninho,Lettre à une femme,157766,0 days 00:02:37.766000,2020-12-16 15:29:22.234,2020,12,51,2,16,15,32,4
97,2020-12-16 15:33:00.000,Damso,COEUR EN MIETTES,31488,0 days 00:00:31.488000,2020-12-16 15:32:28.512,2020,12,51,2,16,15,33,4
98,2020-12-16 15:33:00.000,Damso,911,4565,0 days 00:00:04.565000,2020-12-16 15:32:55.435,2020,12,51,2,16,15,33,4
99,2020-12-16 15:33:00.000,PNL,Onizuka,31899,0 days 00:00:31.899000,2020-12-16 15:32:28.101,2020,12,51,2,16,15,33,4
100,2020-12-16 15:36:00.000,Damso,Feu de bois,183306,0 days 00:03:03.306000,2020-12-16 15:32:56.694,2020,12,51,2,16,15,36,4
101,2020-12-16 15:38:00.000,Damso,Festival de rêves,1343,0 days 00:00:01.343000,2020-12-16 15:37:58.657,2020,12,51,2,16,15,38,4
102,2020-12-16 15:38:00.000,Damso,Même issue,113418,0 days 00:01:53.418000,2020-12-16 15:36:06.582,2020,12,51,2,16,15,38,4
103,2020-12-16 15:40:00.000,Damso,Introduction (Damso / Lithopédion),110506,0 days 00:01:50.506000,2020-12-16 15:38:09.494,2020,12,51,2,16,15,40,4
104,2020-12-16 15:41:00.000,Damso,Baltringue,20074,0 days 00:00:20.074000,2020-12-16 15:40:39.926,2020,12,51,2,16,15,41,4
105,2020-12-16 15:41:00.000,Damso,Festival de rêves,36757,0 days 00:00:36.757000,2020-12-16 15:40:23.243,2020,12,51,2,16,15,41,4
106,2020-12-16 15:44:00.000,Damso,Θ. Macarena,206840,0 days 00:03:26.840000,2020-12-16 15:40:33.160,2020,12,51,2,16,15,44,4
107,2020-12-16 15:46:00.000,Damso,Ε. Signaler,72062,0 days 00:01:12.062000,2020-12-16 15:44:47.938,2020,12,51,2,16,15,46,4
108,2020-12-16 15:49:00.000,Damso,Θ. Macarena,206840,0 days 00:03:26.840000,2020-12-16 15:45:33.160,2020,12,51,2,16,15,49,4
109,2020-12-16 15:52:00.000,Damso,Ι. Peur d'être père,175922,0 days 00:02:55.922000,2020-12-16 15:49:04.078,2020,12,51,2,16,15,52,4
110,2020-12-16 15:53:00.000,Damso,B. #QuedusaalVie,32746,0 days 00:00:32.746000,2020-12-16 15:52:27.254,2020,12,51,2,16,15,53,4
111,2020-12-16 15:53:00.000,Shay,Ich Liebe Dich,490,0 days 00:00:00.490000,2020-12-16 15:52:59.510,2020,12,51,2,16,15,53,4
112,2020-12-16 15:56:00.000,Zeeph,Faire un choix,211374,0 days 00:03:31.374000,2020-12-16 15:52:28.626,2020,12,51,2,16,15,56,4
113,2020-12-16 15:59:00.000,Zeeph,Faire un choix,199666,0 days 00:03:19.666000,2020-12-16 15:55:40.334,2020,12,51,2,16,15,59,4
114,2020-12-16 16:00:00.000,Jul,Mother Fuck,28031,0 days 00:00:28.031000,2020-12-16 15:59:31.969,2020,12,51,2,16,16,0,4
115,2020-12-16 16:01:00.000,GIMS,INTRO,90946,0 days 00:01:30.946000,2020-12-16 15:59:29.054,2020,12,51,2,16,16,1,4
116,2020-12-16 16:02:00.000,GIMS,IMMORTEL,60242,0 days 00:01:00.242000,2020-12-16 16:00:59.758,2020,12,51,2,16,16,2,4
117,2020-12-16 16:03:00.000,GIMS,CÔTÉ NOIR (feat. Leto),62762,0 days 00:01:02.762000,2020-12-16 16:01:57.238,2020,12,51,2,16,16,3,4
118,2020-12-16 16:06:00.000,GIMS,OATS (feat. Boumidjal X),176200,0 days 00:02:56.200000,2020-12-16 16:03:03.800,2020,12,51,2,16,16,6,4
119,2020-12-16 16:07:00.000,GIMS,PENDEJO (feat. Bosh),59725,0 days 00:00:59.725000,2020-12-16 16:06:00.275,2020,12,51,2,16,16,7,4
120,2020-12-16 16:13:00.000,GIMS,ORIGAMI (feat. X NILO VIRUS),323181,0 days 00:05:23.181000,2020-12-16 16:07:36.819,2020,12,51,2,16,16,13,4
121,2020-12-16 16:16:00.000,GIMS,YOLO,197933,0 days 00:03:17.933000,2020-12-16 16:12:42.067,2020,12,51,2,16,16,16,4
122,2020-12-16 16:18:00.000,GIMS,ORO JACKSON (feat. Gazo),86629,0 days 00:01:26.629000,2020-12-16 16:16:33.371,2020,12,51,2,16,16,18,4
123,2020-12-16 16:20:00.000,GIMS,TWENNY TWENNY (feat. Tifyala),159600,0 days 00:02:39.600000,2020-12-16 16:17:20.400,2020,12,51,2,16,16,20,4
124,2020-12-16 16:22:00.000,GIMS,OG NA OG,103823,0 days 00:01:43.823000,2020-12-16 16:20:16.177,2020,12,51,2,16,16,22,4
125,2020-12-16 16:26:00.000,GIMS,SICARIO (feat. Heuss L'enfoiré),218613,0 days 00:03:38.613000,2020-12-16 16:22:21.387,2020,12,51,2,16,16,26,4
126,2020-12-16 16:28:00.000,GIMS,JUSQU'ICI TOUT VA BIEN,120053,0 days 00:02:00.053000,2020-12-16 16:25:59.947,2020,12,51,2,16,16,28,4
127,2020-12-16 16:29:00.000,GIMS,JETEZ PAS L'OEIL (feat. Vald),111488,0 days 00:01:51.488000,2020-12-16 16:27:08.512,2020,12,51,2,16,16,29,4
128,2020-12-16 16:30:00.000,GIMS,GROSSE BLETA (feat. Kaaris),62442,0 days 00:01:02.442000,2020-12-16 16:28:57.558,2020,12,51,2,16,16,30,4
129,2020-12-16 16:34:00.000,GIMS,DANS MA TÊTE (feat. Jaekers),188146,0 days 00:03:08.146000,2020-12-16 16:30:51.854,2020,12,51,2,16,16,34,4
130,2020-12-16 16:37:00.000,GIMS,C'EST COMME ÇA,186946,0 days 00:03:06.946000,2020-12-16 16:33:53.054,2020,12,51,2,16,16,37,4
131,2020-12-16 16:39:00.000,GIMS,THOMAS SHELBY,152386,0 days 00:02:32.386000,2020-12-16 16:36:27.614,2020,12,51,2,16,16,39,4
132,2020-12-16 16:41:00.000,GIMS,INTRO,90946,0 days 00:01:30.946000,2020-12-16 16:39:29.054,2020,12,51,2,16,16,41,4
133,2020-12-16 16:44:00.000,GIMS,IMMORTEL,191453,0 days 00:03:11.453000,2020-12-16 16:40:48.547,2020,12,51,2,16,16,44,4
134,2020-12-16 16:48:00.000,GIMS,CÔTÉ NOIR (feat. Leto),230973,0 days 00:03:50.973000,2020-12-16 16:44:09.027,2020,12,51,2,16,16,48,4
135,2020-12-16 16:51:00.000,GIMS,OATS (feat. Boumidjal X),176200,0 days 00:02:56.200000,2020-12-16 16:48:03.800,2020,12,51,2,16,16,51,4
136,2020-12-16 20:43:00.000,GIMS,PENDEJO (feat. Bosh),82948,0 days 00:01:22.948000,2020-12-16 20:41:37.052,2020,12,51,2,16,20,43,4
137,2020-12-19 13:57:00.000,GIMS,SICARIO (feat. Heuss L'enfoiré),5482,0 days 00:00:05.482000,2020-12-19 13:56:54.518,2020,12,51,5,19,13,57,4
138,2020-12-19 13:59:00.000,GIMS,IMMORTEL,5608,0 days 00:00:05.608000,2020-12-19 13:58:54.392,2020,12,51,5,19,13,59,4
139,2020-12-19 13:59:00.000,GIMS,INTRO,90946,0 days 00:01:30.946000,2020-12-19 13:57:29.054,2020,12,51,5,19,13,59,4
140,2020-12-19 14:02:00.000,Ninho,Lettre à une femme,157766,0 days 00:02:37.766000,2020-12-19 13:59:22.234,2020,12,51,5,19,14,2,4
141,2020-12-19 14:05:00.000,The Weeknd,Blinding Lights,200040,0 days 00:03:20.040000,2020-12-19 14:01:39.960,2020,12,51,5,19,14,5,4
142,2020-12-19 14:09:00.000,Nadjee,Mort d'homme,234197,0 days 00:03:54.197000,2020-12-19 14:05:05.803,2020,12,51,5,19,14,9,4
143,2020-12-19 14:13:00.000,The Weeknd,Starboy,230453,0 days 00:03:50.453000,2020-12-19 14:09:09.547,2020,12,51,5,19,14,13,4
144,2020-12-19 14:16:00.000,Hillsong Worship,King Of Kings,190092,0 days 00:03:10.092000,2020-12-19 14:12:49.908,2020,12,51,5,19,14,16,4
145,2020-12-19 14:16:00.000,Kalash,Bonda Manmanw - Bonus,2453,0 days 00:00:02.453000,2020-12-19 14:15:57.547,2020,12,51,5,19,14,16,4
146,2020-12-19 14:19:00.000,Nadjee,Pas là-bas,183173,0 days 00:03:03.173000,2020-12-19 14:15:56.827,2020,12,51,5,19,14,19,4
147,2020-12-19 14:21:00.000,Zeeph,Faire un choix,121926,0 days 00:02:01.926000,2020-12-19 14:18:58.074,2020,12,51,5,19,14,21,4
148,2020-12-19 14:25:00.000,Hillsong Worship,What A Beautiful Name,240200,0 days 00:04:00.200000,2020-12-19 14:20:59.800,2020,12,51,5,19,14,25,4
149,2020-12-19 14:29:00.000,Chily,San Pellegrino,200120,0 days 00:03:20.120000,2020-12-19 14:25:39.880,2020,12,51,5,19,14,29,4
150,2020-12-19 14:32:00.000,LADIPOE,Know You,230020,0 days 00:03:50.020000,2020-12-19 14:28:09.980,2020,12,51,5,19,14,32,4
151,2020-12-19 14:35:00.000,Lefa,Château de Versailles,180626,0 days 00:03:00.626000,2020-12-19 14:31:59.374,2020,12,51,5,19,14,35,4
152,2020-12-19 14:39:00.000,Future,Life Is Good (feat. Drake),237735,0 days 00:03:57.735000,2020-12-19 14:35:02.265,2020,12,51,5,19,14,39,4
153,2020-12-19 14:42:00.000,WizKid,Final (Baba Nla),160000,0 days 00:02:40,2020-12-19 14:39:20.000,2020,12,51,5,19,14,42,4
154,2020-12-19 14:46:00.000,William McDowell,Here I Am To Worship,221733,0 days 00:03:41.733000,2020-12-19 14:42:18.267,2020,12,51,5,19,14,46,4
155,2020-12-19 14:49:00.000,Rilès,THANK GOD,210236,0 days 00:03:30.236000,2020-12-19 14:45:29.764,2020,12,51,5,19,14,49,4
156,2020-12-19 14:51:00.000,KAROL G,Tusa,124159,0 days 00:02:04.159000,2020-12-19 14:48:55.841,2020,12,51,5,19,14,51,4
157,2020-12-20 07:16:00.000,The Weeknd,Blinding Lights,8581,0 days 00:00:08.581000,2020-12-20 07:15:51.419,2020,12,51,6,20,7,16,4
158,2020-12-20 07:16:00.000,Ninho,Lettre à une femme,157766,0 days 00:02:37.766000,2020-12-20 07:13:22.234,2020,12,51,6,20,7,16,4
159,2020-12-20 07:20:00.000,Nadjee,Mort d'homme,260992,0 days 00:04:20.992000,2020-12-20 07:15:39.008,2020,12,51,6,20,7,20,4
160,2020-12-20 07:25:00.000,Hillsong Worship,King Of Kings,265080,0 days 00:04:25.080000,2020-12-20 07:20:34.920,2020,12,51,6,20,7,25,4
161,2020-12-20 07:28:00.000,Kalash,Bonda Manmanw - Bonus,215034,0 days 00:03:35.034000,2020-12-20 07:24:24.966,2020,12,51,6,20,7,28,4
162,2020-12-20 07:31:00.000,Nadjee,Pas là-bas,183173,0 days 00:03:03.173000,2020-12-20 07:27:56.827,2020,12,51,6,20,7,31,4
163,2020-12-20 07:35:00.000,Zeeph,Faire un choix,211374,0 days 00:03:31.374000,2020-12-20 07:31:28.626,2020,12,51,6,20,7,35,4
164,2020-12-20 07:39:00.000,Hillsong Worship,What A Beautiful Name,240200,0 days 00:04:00.200000,2020-12-20 07:34:59.800,2020,12,51,6,20,7,39,4
165,2020-12-20 07:39:00.000,Chily,San Pellegrino,16035,0 days 00:00:16.035000,2020-12-20 07:38:43.965,2020,12,51,6,20,7,39,4
166,2020-12-20 07:43:00.000,LADIPOE,Know You,230020,0 days 00:03:50.020000,2020-12-20 07:39:09.980,2020,12,51,6,20,7,43,4
167,2020-12-20 07:46:00.000,Lefa,Château de Versailles,180626,0 days 00:03:00.626000,2020-12-20 07:42:59.374,2020,12,51,6,20,7,46,4
168,2020-12-20 07:50:00.000,Future,Life Is Good (feat. Drake),237735,0 days 00:03:57.735000,2020-12-20 07:46:02.265,2020,12,51,6,20,7,50,4
169,2020-12-20 07:53:00.000,WizKid,Final (Baba Nla),160000,0 days 00:02:40,2020-12-20 07:50:20.000,2020,12,51,6,20,7,53,4
170,2020-12-20 07:56:00.000,William McDowell,Here I Am To Worship,221733,0 days 00:03:41.733000,2020-12-20 07:52:18.267,2020,12,51,6,20,7,56,4
171,2020-12-20 08:00:00.000,Rilès,THANK GOD,210236,0 days 00:03:30.236000,2020-12-20 07:56:29.764,2020,12,51,6,20,8,0,4
172,2020-12-20 08:03:00.000,KAROL G,Tusa,200960,0 days 00:03:20.960000,2020-12-20 07:59:39.040,2020,12,51,6,20,8,3,4
